accession	gene	function	normal	MMS
YAR015W	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis	Down	Down
YAR018C	KIN3	Nonessential protein kinase with unknown cellular role	NA	NA
YAR019C	CDC15	Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase	NA	NA
YAR033W	MST28	Putative integral membrane protein, involved in vesicle formation	NA	NA
YAR042W	SWH1	Protein similar to mammalian oxysterol-binding protein	NA	NA
YBL001C	ECM15	Non-essential protein of unknown function, likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis	NA	NA
YBL002W	HTB2	Histone H2B, core histone protein required for chromatin assembly and chromosome function	NA	NA
YBL003C	HTA2	Histone H2A, core histone protein required for chromatin assembly and chromosome function	Up	NA
YBL004W	UTP20	Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA	NA	NA
YBL005W-A	YBL005W-A	Retrotransposon TYA Gag gene co-transcribed with TYB Pol	NA	NA
YBL005W-B	YBL005W-B	Retrotransposon TYA Gag and TYB Pol genes	NA	NA
YBL007C	SLA1	Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton	NA	NA
YBL013W	FMT1	Methionyl-tRNA formyltransferase, catalyzes the formylation of initiator Met-tRNA in mitochondria	NA	NA
YBL015W	ACH1	Protein with CoA transferase activity, particularly for CoASH transfer from succinyl-CoA to acetate	NA	NA
YBL017C	PEP1	Type I transmembrane sorting receptor for multiple vacuolar hydrolases	NA	NA
YBL019W	APN2	Class II abasic (AP) endonuclease involved in repair of DNA damage	NA	NA
YBL022C	PIM1	ATP-dependent Lon protease, involved in degradation of misfolded proteins in mitochondria	NA	NA
YBL023C	MCM2	Protein involved in DNA replication	NA	NA
YBL024W	NCL1	S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase, methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs	NA	NA
YBL026W	LSM2	Lsm (Like Sm) protein	NA	NA
YBL027W	RPL19B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl19Ap and has similarity to rat L19 ribosomal protein	Down	Down
YBL030C	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP	Up	Up
YBL034C	STU1	Component of the mitotic spindle that binds to interpolar microtubules via its association with beta-tubulin (Tub2p)	NA	NA
YBL036C	YBL036C	Putative non-specific single-domain racemase based on structural similarity	NA	NA
YBL037W	APL3	Alpha-adaptin, large subunit of the clathrin associated protein complex (AP-2)	NA	NA
YBL039C	URA7	Major CTP synthase isozyme (see also URA8), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines	NA	NA
YBL041W	PRE7	Beta 6 subunit of the 20S proteasome	Down	NA
YBL045C	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex (bc1 complex), which is a component of the mitochondrial inner membrane electron transport chain	Up	NA
YBL047C	EDE1	Key endocytic protein involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner, may also bind ubiquitinated membrane-associated proteins	NA	NA
YBL050W	SEC17	Peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy	NA	NA
YBL052C	SAS3	Histone acetyltransferase catalytic subunit of NuA3 complex that acetylates histone H3, involved in transcriptional silencing	NA	NA
YBL055C	YBL055C	3'-->5' exonuclease and endonuclease with a possible role in apoptosis	NA	NA
YBL058W	SHP1	UBX (ubiquitin regulatory X) domain-containing protein that regulates Glc7p phosphatase activity and interacts with Cdc48p	NA	NA
YBL060W	YEL1	Guanine nucleotide exchange factor specific for Arf3p	NA	NA
YBL064C	PRX1	Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity, has a role in reduction of hydroperoxides	NA	NA
YBL067C	UBP13	Putative ubiquitin carboxyl-terminal hydrolase, ubiquitin-specific protease that cleaves ubiquitin-protein fusions	NA	NA
YBL068W	PRS4	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis	NA	NA
YBL069W	AST1	Peripheral membrane protein that interacts with the plasma membrane ATPase Pma1p and has a role in its targeting to the plasma membrane, possibly by influencing its incorporation into lipid rafts	NA	NA
YBL072C	RPS8A	Protein component of the small (40S) ribosomal subunit	NA	Down
YBL075C	SSA3	ATPase involved in protein folding and the response to stress	NA	NA
YBL076C	ILS1	Cytoplasmic isoleucine-tRNA synthetase, target of the G1-specific inhibitor reveromycin A	Down	Down
YBL085W	BOI1	Protein implicated in polar growth, functionally redundant with Boi2p	NA	NA
YBL086C	YBL086C	Protein of unknown function	NA	NA
YBL087C	RPL23A	Protein component of the large (60S) ribosomal subunit, identical to Rpl23Bp and has similarity to E. coli L14 and rat L23 ribosomal proteins	NA	NA
YBL088C	TEL1	Protein kinase primarily involved in telomere length regulation	NA	NA
YBL091C	MAP2	Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides	NA	NA
YBL092W	RPL32	Protein component of the large (60S) ribosomal subunit, has similarity to rat L32 ribosomal protein	NA	NA
YBL098W	BNA4	Kynurenine 3-mono oxygenase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine	NA	NA
YBL099W	ATP1	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis	Up	Up
YBL100W-B	YBL100W-B	Retrotransposon TYA Gag and TYB Pol genes	NA	NA
YBL101C	ECM21	Protein involved in regulating the endocytosis of plasma membrane proteins	Up	NA
YBL104C	YBL104C	Putative protein of unknown function, promoter contains multiple GCN4 binding sites	NA	NA
YBL105C	PKC1	Protein serine/threonine kinase essential for cell wall remodeling during growth	NA	NA
YBL106C	SRO77	Protein with roles in exocytosis and cation homeostasis	NA	NA
YBL111C	YBL111C	Helicase-like protein encoded within the telomeric Y' element	NA	NA
YBR001C	NTH2	Putative neutral trehalase, required for thermotolerance and may mediate resistance to other cellular stresses	Up	NA
YBR003W	COQ1	Hexaprenyl pyrophosphate synthetase, catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis	NA	NA
YBR009C	HHF1	Histone H4, core histone protein required for chromatin assembly and chromosome function	Up	Up
YBR010W	HHT1	Histone H3, core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing	NA	NA
YBR011C	IPP1	Cytoplasmic inorganic pyrophosphatase (PPase), homodimer that catalyzes the rapid exchange of oxygens from Pi with water, highly expressed and essential for viability, active-site residues show identity to those from E. coli PPase	Down	Down
YBR015C	MNN2	Alpha-1,2-mannosyltransferase, responsible for addition of the first alpha-1,2-linked mannose to form the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment	NA	NA
YBR017C	KAP104	Transportin or cytosolic karyopherin beta 2	NA	NA
YBR020W	GAL1	Galactokinase, phosphorylates alpha-D-galactose to alpha-D-galactose-1-phosphate in the first step of galactose catabolism	NA	NA
YBR023C	CHS3	Chitin synthase III, catalyzes the transfer of N-acetylglucosamine (GlcNAc) to chitin	NA	NA
YBR025C	OLA1	P-loop ATPase with similarity to human OLA1 and bacterial YchF	Down	NA
YBR026C	ETR1	2-enoyl thioester reductase, member of the medium chain dehydrogenase/reductase family	NA	NA
YBR029C	CDS1	Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase)	NA	NA
YBR031W	RPL4A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl4Bp and has similarity to E. coli L4 and rat L4 ribosomal proteins	NA	Down
YBR033W	EDS1	Putative zinc cluster protein	NA	NA
YBR034C	HMT1	Nuclear SAM-dependent mono- and asymmetric arginine dimethylating methyltransferase that modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export	NA	NA
YBR035C	PDX3	Pyridoxine (pyridoxamine) phosphate oxidase, has homologs in E. coli and Myxococcus xanthus	NA	NA
YBR039W	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis	Up	NA
YBR042C	CST26	Protein required for incorporation of stearic acid into phosphatidylinositol	NA	NA
YBR045C	GIP1	Meiosis-specific regulatory subunit of the Glc7p protein phosphatase, regulates spore wall formation and septin organization, required for expression of some late meiotic genes and for normal localization of Glc7p	NA	Up
YBR046C	ZTA1	NADPH-dependent quinone reductase, GFP-tagged protein localizes to the cytoplasm and nucleus	NA	NA
YBR048W	RPS11B	Protein component of the small (40S) ribosomal subunit	NA	NA
YBR049C	REB1	RNA polymerase I enhancer binding protein	NA	NA
YBR052C	RFS1	Protein of unknown function	NA	NA
YBR053C	YBR053C	Putative protein of unknown function	NA	NA
YBR055C	PRP6	Splicing factor, component of the U4/U6-U5 snRNP complex	NA	NA
YBR056W	YBR056W	Putative cytoplasmic protein of unknown function	NA	NA
YBR059C	AKL1	Ser-Thr protein kinase, member (with Ark1p and Prk1p) of the Ark kinase family	NA	NA
YBR065C	ECM2	Pre-mRNA splicing factor, facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome, function may be regulated by Slu7p	NA	NA
YBR072W	HSP26	Small heat shock protein (sHSP) with chaperone activity	NA	Up
YBR073W	RDH54	DNA-dependent ATPase, stimulates strand exchange by modifying the topology of double-stranded DNA	NA	NA
YBR078W	ECM33	GPI-anchored protein of unknown function, has a possible role in apical bud growth	Up	NA
YBR079C	RPG1	eIF3a subunit of the core complex of translation initiation factor 3 (eIF3), essential for translation	NA	NA
YBR080C	SEC18	ATPase required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion	Down	NA
YBR081C	SPT7	Subunit of the SAGA transcriptional regulatory complex, involved in proper assembly of the complex	NA	NA
YBR082C	UBC4	Ubiquitin-conjugating enzyme (E2), mediates degradation of abnormal or excess proteins, including calmodulin and histone H3	NA	NA
YBR084W	MIS1	Mitochondrial C1-tetrahydrofolate synthase, involved in interconversion between different oxidation states of tetrahydrofolate (THF)	NA	NA
YBR085C-A	YBR085C-A	Putative protein of unknown function	NA	NA
YBR085W	AAC3	Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP	NA	Up
YBR086C	IST2	Plasma membrane protein that may be involved in osmotolerance, localizes to the mother cell in small-budded cells and to the bud in medium- and large-budded cells	NA	NA
YBR088C	POL30	Proliferating cell nuclear antigen (PCNA), functions as the sliding clamp for DNA polymerase delta	NA	NA
YBR089C-A	NHP6B	High-mobility group (HMG) protein that binds to and remodels nucleosomes	Up	Up
YBR092C	PHO3	Constitutively expressed acid phosphatase similar to Pho5p	NA	NA
YBR093C	PHO5	Repressible acid phosphatase (1 of 3) that also mediates extracellular nucleotide-derived phosphate hydrolysis	NA	Up
YBR094W	PBY1	Putative tubulin tyrosine ligase associated with P-bodies	NA	NA
YBR095C	RXT2	Subunit of the histone deacetylase Rpd3L complex	NA	NA
YBR097W	VPS15	Myristoylated serine/threonine protein kinase involved in vacuolar protein sorting	NA	NA
YBR098W	MMS4	Subunit of the structure-specific Mms4p-Mus81p endonuclease that cleaves branched DNA	NA	NA
YBR101C	FES1	Hsp70 (Ssa1p) nucleotide exchange factor, cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum	NA	NA
YBR102C	EXO84	Essential protein with dual roles in spliceosome assembly and exocytosis	NA	NA
YBR106W	PHO88	Probable membrane protein, involved in phosphate transport	Down	NA
YBR108W	AIM3	Protein interacting with Rvs167p	NA	NA
YBR109C	CMD1	Calmodulin	Down	Down
YBR111C	YSA1	Nudix hydrolase family member with ADP-ribose pyrophosphatase activity	NA	NA
YBR112C	CYC8	General transcriptional co-repressor, acts together with Tup1p	NA	NA
YBR115C	LYS2	Alpha aminoadipate reductase, catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine	Down	NA
YBR118W	TEF2	Translational elongation factor EF-1 alpha	Down	NA
YBR120C	CBP6	Mitochondrial translational activator of the COB mRNA	NA	NA
YBR121C	GRS1	Cytoplasmic and mitochondrial glycyl-tRNA synthase that ligates glycine to the cognate anticodon bearing tRNA	Down	NA
YBR123C	TFC1	One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)	NA	NA
YBR126C	TPS1	Synthase subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose	Up	Up
YBR127C	VMA2	Subunit B of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system	Down	Down
YBR136W	MEC1	Genome integrity checkpoint protein and PI kinase superfamily member	NA	NA
YBR137W	YBR137W	Protein of unknown function	NA	NA
YBR138C	YBR138C	Cytoplasmic protein of unknown function, potentially phosphorylated by Cdc28p	NA	Up
YBR139W	YBR139W	Putative serine type carboxypeptidase with a role in phytochelatin synthesis	NA	NA
YBR140C	IRA1	GTPase-activating protein that negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, mediates membrane association of adenylate cyclase	NA	NA
YBR142W	MAK5	Essential nucleolar protein, putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus	NA	NA
YBR143C	SUP45	Polypeptide release factor (eRF1) in translation termination	NA	NA
YBR145W	ADH5	Alcohol dehydrogenase isoenzyme V	Down	NA
YBR146W	MRPS9	Mitochondrial ribosomal protein of the small subunit	NA	NA
YBR149W	ARA1	NADP+ dependent arabinose dehydrogenase, involved in carbohydrate metabolism	NA	NA
YBR150C	TBS1	Putative protein of unknown function	NA	NA
YBR154C	RPB5	RNA polymerase subunit ABC27, common to RNA polymerases I, II, and III	NA	NA
YBR156C	SLI15	Subunit of the conserved chromosomal passenger complex (CPC	NA	NA
YBR158W	AMN1	Protein required for daughter cell separation, multiple mitotic checkpoints, and chromosome stability	NA	NA
YBR159W	IFA38	Microsomal beta-keto-reductase	NA	NA
YBR162C	TOS1	Covalently-bound cell wall protein of unknown function	NA	NA
YBR162W-A	YSY6	Protein whose expression suppresses a secretory pathway mutation in E. coli	NA	NA
YBR163W	EXO5	Mitochondrial 5'-3' exonuclease and sliding exonuclease, required for mitochondrial genome maintenance	NA	NA
YBR166C	TYR1	Prephenate dehydrogenase involved in tyrosine biosynthesis, expression is dependent on phenylalanine levels	NA	NA
YBR169C	SSE2	Member of the heat shock protein 70 (HSP70) family	NA	NA
YBR171W	SEC66	Non-essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p)	NA	NA
YBR175W	SWD3	Essential subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres	NA	NA
YBR177C	EHT1	Acyl-coenzymeA:ethanol O-acyltransferase that plays a minor role in medium-chain fatty acid ethyl ester biosynthesis	NA	Up
YBR179C	FZO1	Mitofusin, mitochondrial integral membrane protein involved in mitochondrial fusion and mitochondrial genome maintenance	NA	NA
YBR181C	RPS6B	Protein component of the small (40S) ribosomal subunit	Down	Down
YBR182C	SMP1	Putative transcription factor involved in regulating the response to osmotic stress	NA	NA
YBR186W	PCH2	Nucleolar component of the pachytene checkpoint, which prevents chromosome segregation when recombination and chromosome synapsis are defective	NA	NA
YBR189W	RPS9B	Protein component of the small (40S) ribosomal subunit	Down	Down
YBR191W	RPL21A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl21Bp and has similarity to rat L21 ribosomal protein	NA	NA
YBR196C	PGI1	Glycolytic enzyme phosphoglucose isomerase, catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate	NA	NA
YBR197C	YBR197C	Putative protein of unknown function	NA	NA
YBR198C	TAF5	Subunit (90 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification	NA	Up
YBR202W	MCM7	Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase	NA	NA
YBR203W	COS111	Protein required for resistance to the antifungal drug ciclopirox olamine	NA	NA
YBR204C	YBR204C	Serine hydrolase	NA	NA
YBR208C	DUR1	Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3	NA	NA
YBR213W	MET8	Bifunctional dehydrogenase and ferrochelatase, involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase	NA	NA
YBR214W	SDS24	One of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation	NA	NA
YBR215W	HPC2	Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription	NA	NA
YBR216C	YBP1	Protein required for oxidation of specific cysteine residues of the transcription factor Yap1p, resulting in the nuclear localization of Yap1p in response to stress	NA	NA
YBR218C	PYC2	Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate	Down	NA
YBR221C	PDB1	E1 beta subunit of the pyruvate dehydrogenase (PDH) complex, which is an evolutionarily-conserved multi-protein complex found in mitochondria	Down	NA
YBR222C	PCS60	Peroxisomal protein that binds AMP and mRNA, localizes to both the peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid, similar to E. coli long chain acyl-CoA synthetase	NA	NA
YBR223C	TDP1	Tyrosyl-DNA Phosphodiesterase I, hydrolyzes 3' and 5'-phosphotyrosyl bonds, involved in the repair of DNA lesions created by topoisomerase I and topoisomerase II	NA	NA
YBR225W	YBR225W	Putative protein of unknown function	NA	NA
YBR231C	SWC5	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A	NA	NA
YBR233W	PBP2	RNA binding protein with similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length	NA	NA
YBR234C	ARC40	Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches	NA	NA
YBR237W	PRP5	RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA	NA	NA
YBR244W	GPX2	Phospholipid hydroperoxide glutathione peroxidase induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress	NA	NA
YBR245C	ISW1	Member of the imitation-switch (ISWI) class of ATP-dependent chromatin remodeling complexes	NA	Up
YBR246W	RRT2	Putative protein of unknown function	NA	NA
YBR248C	HIS7	Imidazole glycerol phosphate synthase (glutamine amidotransferase:cyclase), catalyzes the fifth and sixth steps of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor	NA	Down
YBR249C	ARO4	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan	Down	NA
YBR250W	SPO23	Protein of unknown function	NA	NA
YBR255W	MTC4	Protein of unknown function, required for normal growth rate at 15 degrees C	NA	NA
YBR256C	RIB5	Riboflavin synthase	NA	NA
YBR257W	POP4	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	NA	NA
YBR260C	RGD1	GTPase-activating protein (RhoGAP) for Rho3p and Rho4p, possibly involved in control of actin cytoskeleton organization	NA	NA
YBR262C	AIM5	Protein of unknown function	NA	NA
YBR263W	SHM1	Mitochondrial serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate	NA	NA
YBR270C	BIT2	Subunit of TORC2, a membrane-associated complex that regulates actin cytoskeletal dynamics during polarized growth and cell wall integrity	Down	NA
YBR271W	YBR271W	Putative S-adenosylmethionine-dependent methyltransferase of the seven beta-strand family	NA	NA
YBR275C	RIF1	Protein that binds to the Rap1p C-terminus and acts synergistically with Rif2p to help control telomere length and establish telomeric silencing	NA	NA
YBR279W	PAF1	Component of the Paf1p complex that binds to and modulates the activity of RNA polymerases I and II	NA	NA
YBR280C	SAF1	F-Box protein involved in proteasome-dependent degradation of Aah1p during entry of cells into quiescence	NA	NA
YBR281C	DUG2	Probable di- and tri-peptidase	NA	NA
YBR283C	SSH1	Subunit of the Ssh1 translocon complex	NA	NA
YBR284W	YBR284W	Putative protein of unknown function	NA	NA
YBR286W	APE3	Vacuolar aminopeptidase Y, processed to mature form by Prb1p	NA	NA
YBR289W	SNF5	Subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation	NA	NA
YBR295W	PCA1	Cadmium transporting P-type ATPase	NA	NA
YBR302C	COS2	Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins	NA	NA
YCL001W	RER1	Protein involved in retention of membrane proteins, including Sec12p, in the ER	NA	NA
YCL004W	PGS1	Phosphatidylglycerolphosphate synthase, catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis	NA	NA
YCL009C	ILV6	Regulatory subunit of acetolactate synthase, which catalyzes the first step of branched-chain amino acid biosynthesis	Down	NA
YCL014W	BUD3	Protein involved in bud-site selection and required for axial budding pattern	NA	NA
YCL017C	NFS1	Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis and in thio-modification of mitochondrial and cytoplasmic tRNAs	NA	NA
YCL024W	KCC4	Protein kinase of the bud neck involved in the septin checkpoint, associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p	NA	NA
YCL028W	RNQ1	[PIN(+)] prion, an infectious protein conformation that is generally an ordered protein aggregate	NA	NA
YCL030C	HIS4	Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase, phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities	Down	Down
YCL031C	RRP7	Essential protein involved in rRNA processing and ribosome biogenesis	NA	NA
YCL035C	GRX1	Hydroperoxide and superoxide-radical responsive heat-stable glutathione-dependent disulfide oxidoreductase with active site cysteine pair	NA	NA
YCL036W	GFD2	Protein of unknown function, identified as a high-copy suppressor of a dbp5 mutation	NA	NA
YCL037C	SRO9	Cytoplasmic RNA-binding protein that associates with translating ribosomes	NA	Down
YCL039W	GID7	Protein of unknown function, involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase	NA	NA
YCL040W	GLK1	Glucokinase, catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism	Up	Up
YCL043C	PDI1	Protein disulfide isomerase, multifunctional protein resident in the endoplasmic reticulum lumen, essential for the formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds	NA	NA
YCL044C	MGR1	Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins	NA	NA
YCL045C	EMC1	Member of a transmembrane complex required for efficient folding of proteins in the ER	NA	Down
YCL047C	YCL047C	Putative protein of unknown function	NA	NA
